Date,StationID,Location,RoadType,AvgDailyTraffic,AvgPeakHour,HeavyVehiclePct,WeatherIndex
1/31/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1209,102,5.6,46.5
2/28/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1228,102,4.9,50.4
3/31/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1307,110,3.2,64.4
4/30/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1243,95,7.9,55.8
5/31/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1287,110,3,55.6
6/30/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1206,90,7,48.3
7/31/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1180,96,3,45.5
8/31/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1252,93,5.3,34.8
9/30/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1145,96,3.4,54.6
10/31/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1084,82,7.9,39.5
11/30/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1074,92,2.5,43.5
12/31/2006,MM-ST01,Metro Manila - EDSA Segment,National Road,1204,86,4.3,44.8
1/31/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1154,85,7.5,55.2
2/28/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1310,103,3.2,60.8
3/31/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1279,103,7.3,61.4
4/30/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1225,106,3.6,57.4
5/31/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1179,95,3.7,50.5
6/30/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1201,100,6.3,52
7/31/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1229,92,5.5,43.4
8/31/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1232,96,3.3,34.5
9/30/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1061,80,7.4,35.3
10/31/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1316,104,6.3,38.8
11/30/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1130,91,6.1,42.2
12/31/2007,MM-ST01,Metro Manila - EDSA Segment,National Road,1112,85,3.4,35.9
1/31/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1339,110,2.1,57.2
2/29/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1330,111,2,59.2
3/31/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1314,92,6.9,57.1
4/30/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1179,87,3.7,59.8
5/31/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1300,98,5.4,55.2
6/30/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1181,91,7.8,48.2
7/31/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1053,84,3.5,43.4
8/31/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1093,88,3.9,38.9
9/30/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1039,77,3.3,41.5
10/31/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1219,95,3.8,40.4
11/30/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1259,96,2.8,48.5
12/31/2008,MM-ST01,Metro Manila - EDSA Segment,National Road,1107,94,6.9,49.1
1/31/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1209,95,2.9,52.6
2/28/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1271,97,7.1,61.1
3/31/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1153,96,5.1,59.2
4/30/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1315,101,8,55.9
5/31/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1141,81,7.2,50.5
6/30/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1085,84,7.3,55.3
7/31/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1104,84,7.8,48.6
8/31/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1123,83,4.1,41.9
9/30/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1078,87,4.1,35.7
10/31/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1250,101,3.7,52.6
11/30/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1172,95,4.5,52.6
12/31/2009,MM-ST01,Metro Manila - EDSA Segment,National Road,1082,99,4.9,55.7
1/31/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1254,97,4.4,57.1
2/28/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1130,77,6.3,57.3
3/31/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1374,106,3.1,63.6
4/30/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1148,89,2.4,60.1
5/31/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1191,97,2.2,56.5
6/30/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1217,103,5.4,47.8
7/31/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1114,90,3.4,45
8/31/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1079,75,3.8,38
9/30/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1172,91,6.8,44.1
10/31/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1033,81,7.1,40.3
11/30/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1260,92,7.2,56.1
12/31/2010,MM-ST01,Metro Manila - EDSA Segment,National Road,1098,92,5.2,47.3
1/31/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1144,89,3.4,55.8
2/28/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1251,94,7,67.5
3/31/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1093,87,7.3,55.7
4/30/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1262,94,7.3,64.5
5/31/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1186,95,2.1,50.1
6/30/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1247,104,5.4,50.5
7/31/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1186,93,7.9,44.6
8/31/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1249,93,5.8,40.5
9/30/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1098,80,5.1,47.5
10/31/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1240,100,6.3,48
11/30/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1195,90,5.3,48.6
12/31/2011,MM-ST01,Metro Manila - EDSA Segment,National Road,1179,92,4.7,49.6
1/31/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1256,95,5.6,46.7
2/29/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1195,93,4.6,62.1
3/31/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1217,104,7.7,59.9
4/30/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1214,93,6.2,54.9
5/31/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1254,100,3.9,56.2
6/30/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1205,90,7.7,51.1
7/31/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1019,79,3.8,44.2
8/31/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1286,100,7.4,43.5
9/30/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1303,101,2.1,51.7
10/31/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1120,88,2.3,39.7
11/30/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1256,94,5.5,50.6
12/31/2012,MM-ST01,Metro Manila - EDSA Segment,National Road,1259,99,3.3,61.6
1/31/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1193,104,5.5,57.4
2/28/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1229,93,7.9,60
3/31/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1337,112,5.7,65.4
4/30/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1117,101,6.9,59.2
5/31/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1292,102,5.9,57.1
6/30/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1302,113,7.6,43.4
7/31/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1126,83,2.4,44.7
8/31/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1277,110,6.8,48.5
9/30/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1216,99,3.7,40.5
10/31/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1247,107,3.1,51.3
11/30/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1170,88,2.4,45.5
12/31/2013,MM-ST01,Metro Manila - EDSA Segment,National Road,1119,90,5.5,54.2
1/31/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1205,89,2,51.1
2/28/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1073,84,2.3,57.8
3/31/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1194,85,7,58.2
4/30/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1307,104,6.6,59.2
5/31/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1167,88,7.5,58.5
6/30/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1241,95,7.3,47.3
7/31/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1347,113,6.5,39.2
8/31/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1124,77,5.7,41.6
9/30/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1187,89,4.1,43.5
10/31/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1044,79,4.6,49.1
11/30/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1261,103,7.3,39.1
12/31/2014,MM-ST01,Metro Manila - EDSA Segment,National Road,1285,110,5.1,40.8
1/31/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1179,93,4.2,52.4
2/28/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1172,91,2.4,65.4
3/31/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1221,105,2.2,54.2
4/30/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1149,94,6,56
5/31/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1275,102,5.6,63
6/30/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1290,110,7.8,48.6
7/31/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1191,96,5.7,44.9
8/31/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1018,78,4.5,42.4
9/30/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1284,111,5.3,43.9
10/31/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1202,98,7.6,40.6
11/30/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1200,92,2.7,35.8
12/31/2015,MM-ST01,Metro Manila - EDSA Segment,National Road,1078,81,5.3,49.4
1/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1213,96,3.9,56.8
2/29/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1243,101,3.6,44.5
3/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1255,99,6.1,66.3
4/30/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1286,99,5.5,57.6
5/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1154,93,4.4,46.7
6/30/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1158,103,7.3,47.7
7/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1111,91,6.5,53.7
8/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1135,94,5.7,45.3
9/30/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1001,80,6.7,40.8
10/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1230,101,4,40.8
11/30/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1210,97,3.4,34
12/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1258,105,6.5,49.8
1/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1211,96,5.8,60
2/28/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1265,105,5.2,54.4
3/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1209,97,7.2,62.9
4/30/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1368,115,7.5,54.8
5/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1124,83,7.2,58
6/30/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1090,85,4.5,43.4
7/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1163,104,7.3,46.9
8/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1169,104,4.4,34.6
9/30/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1337,124,3.8,32.2
10/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1240,102,2.7,39
11/30/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1217,96,6.8,43.5
12/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1129,95,5.5,50.6
1/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1144,89,4.6,50.2
2/28/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1162,99,6.8,56.3
3/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1310,98,6.3,59.7
4/30/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1315,110,6.5,64.4
5/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1293,93,6.8,60.6
6/30/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1122,90,7.9,50.5
7/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1058,94,4.7,52.4
8/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1161,82,6.4,41
9/30/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1185,97,6.6,51.1
10/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1171,91,4.3,48.4
11/30/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1235,109,4.1,42.8
12/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1264,89,3.1,46.9
1/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1331,97,6.2,53.8
2/28/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1312,120,2.8,64.1
3/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1126,88,3.3,56
4/30/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1194,95,3.4,61.6
5/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1213,95,6.3,56.5
6/30/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1353,112,5.4,56.6
7/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1125,88,6.7,40.2
8/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1138,90,6.7,39.6
9/30/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1138,86,7.8,36
10/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1219,99,3.7,47
11/30/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1155,95,7.9,55.5
12/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1228,105,4.6,53.4
1/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1122,93,2.6,59.5
2/29/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1259,103,3.5,55.3
3/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1352,108,4.6,66.3
4/30/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1297,113,3,54.3
5/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1215,89,7.4,55.1
6/30/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1277,99,4.9,46.7
7/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1251,97,3,43.5
8/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1198,91,7.2,44.1
9/30/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1213,98,4.4,46.9
10/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1249,98,4.5,35.7
11/30/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1125,93,2.1,41.1
12/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1160,86,4.9,51.2
1/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1270,102,2.3,54.7
2/28/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1373,120,5.4,60.2
3/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1234,93,2.9,56.5
4/30/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1154,89,5.7,55.9
5/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1316,107,2.6,49.9
6/30/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1168,89,7.2,52.3
7/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1136,87,2.4,42.2
8/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,960,74,7.4,44.6
9/30/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1133,89,6.2,43.5
10/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1198,91,6.1,42.5
11/30/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1088,103,2.3,51.1
12/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1264,95,3.6,53.7
1/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1157,91,5,61.7
2/28/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1209,107,4.8,54.8
3/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1187,95,4.9,65
4/30/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1185,95,3.2,60.3
5/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1119,79,4.7,54.5
6/30/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1185,99,4.8,58.9
7/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1155,95,7.9,41.4
8/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1145,91,4.9,41.5
9/30/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1178,88,6.3,41
10/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1035,80,5.1,40.2
11/30/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1226,98,3.7,49.1
12/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1258,107,7.2,58
1/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1216,99,4,60.5
2/28/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1293,89,3.1,53
3/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1248,90,6.7,56
4/30/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1392,107,3,63.5
5/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1315,112,6.4,50.4
6/30/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1270,91,2.5,49.5
7/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1071,85,2.4,39.7
8/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1163,91,2.5,31.2
9/30/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1211,95,5.9,31
10/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1239,105,7.7,37.9
11/30/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1177,101,6.8,48.3
12/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1367,110,3,50.7
1/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1267,90,4.3,56.4
2/29/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1200,102,5.3,60.8
3/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1204,103,4.5,59.6
4/30/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1293,98,6,64.3
5/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1297,98,5.7,55.7
6/30/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1253,109,3.6,50.8
7/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1169,88,6.4,53.2
8/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1252,107,7.6,39.8
9/30/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1041,85,6.8,41.3
10/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1118,94,6.7,42.6
11/30/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1196,96,5.3,51.8
12/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1277,107,7.8,55.8
1/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1269,90,5.1,49.5
2/28/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1166,88,4.8,54.3
3/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1346,102,3,60.4
4/30/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1372,105,6.6,59.3
5/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1375,109,6.6,64.5
6/30/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1235,102,2.9,53.3
7/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1355,113,3.4,45
8/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1216,88,4.4,44.6
9/30/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1187,96,5.3,33.1
10/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1170,90,3.2,43.2
11/30/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1126,85,6.9,48.1
12/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1185,103,5.3,39.6
1/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1254,98,7.1,50.4
2/28/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1236,100,7.8,57.9
3/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1274,96,6.3,55.2
4/30/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1091,90,3.6,58.2
5/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1329,103,2.8,54.8
6/30/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1086,83,4.9,42.9
7/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1214,93,7.5,45
8/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1189,100,6.2,43.8
9/30/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1164,102,4.3,47.5
10/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1131,94,6,33.9
